Object,loge_C, e_loge_C, n_C,loge_N, e_loge_N, n_N,loge_O, e_loge_O, n_O,loge_Mg, e_loge_Mg, n_Mg,loge_Al, e_loge_Al, n_Al,loge_Si, e_loge_Si, n_Si,loge_S, e_loge_S, n_S,
Sh 2-47,8.21,,1,7.53,,1,8.52,,1,7.48,,1,6.32,,1,7.40,,1,7.15,1
NGC 6611,8.25,0.20,2,7.61,0.09,4,8.58,0.07,4,7.41,0.12,4,6.11,0.24,3,7.16,0.21,4,7.21,0.10,3
Sh 2-32,8.26,,1,7.73,0.06,2,8.66,0.09,2,7.55,,1,6.34,,1,7.30,0.13,2,7.30,1
NGC 6204,8.12,,1,7.72,,1,8.68,,1,7.32,,1,6.10,,1,7.57,,1,
Tru 27,8.45,,1,7.81,,1,8.55,0.04,2,7.80,,1,6.30,,1,7.48,0.06,2,7.47,1
NGC 6231,8.20,0.12,4,7.63,0.20,4,8.52,0.05,4,7.34,0.16,3,5.98,0.18,4,7.14,0.23,4,7.19,0.03,4
NGC 6604,,7.55,,1,8.53,,1,7.57,,1,6.10,,1,7.20,,1,
Ara OB1,8.29,,1,7.55,,1,8.58,,1,7.57,,1,6.12,,1,7.20,,1,7.21,1
Vul OB1,,,,7.77,0.33,2,8.46,0.25,2,7.45,0.20,2,6.09,0.20,2,7.44,0.08,2,7.20,0.11,2
Stock 16,8.49,,1,7.77,,1,8.50,,1,7.22,,1,6.11,,1,7.09,,1,7.30,1
Sct OB2,8.30,0.06,2,7.59,0.10,2,8.54,0.05,2,7.73,0.04,2,6.33,0.14,2,7.72,0.04,2,7.45,1
NGC 4755,8.26,0.05,3,7.61,0.10,3,8.58,0.05,4,7.49,0.21,4,6.15,0.15,2,7.08,0.06,4,7.28,0.09,3
IC 2944,8.32,,1,7.47,0.05,2,8.55,0.06,2,7.46,0.10,2,5.99,0.30,2,7.15,0.01,2,7.41,1
Cyg OB3,8.15,0.23,2,7.60,0.15,4,8.58,0.12,5,7.46,0.24,4,6.08,0.21,4,7.38,0.17,5,7.26,0.07,3
Cyg OB7,8.05,,1,7.83,0.26,3,8.69,0.20,3,7.36,0.02,2,6.07,0.18,2,7.15,0.09,3,7.11,1
Lac OB1,8.36,0.02,3,7.68,0.11,5,8.67,0.16,5,7.51,0.04,3,6.13,0.11,4,7.26,0.20,5,7.19,0.11,4
Cep OB2,8.17,0.09,5,7.57,0.14,17,8.53,0.14,17,7.38,0.18,16,5.98,0.18,16,7.25,0.30,17,7.20,0.10,6
Cep OB3,,,,7.56,0.06,2,8.54,0.13,3,7.20,0.21,3,5.87,0.14,3,7.09,0.18,3,7.14,0.07,3
Ori OB1,8.39,0.11,15,7.76,0.13,15,8.72,0.13,18,,,7.13,0.13,18,
Mon OB2,,,,7.19,,1,8.08,,1,6.86,,1,5.91,,1,7.08,,1,6.94,1
Sh 2-247,,7.40,,1,8.20,,1,7.28,,1,,7.34,,1,
NGC 2414,8.00,,1,7.28,0.13,2,8.08,0.07,2,7.13,,1,5.99,,1,6.63,0.03,2,
Sh 2-253,8.05,,1,7.45,,1,8.55,,1,6.98,,1,5.92,,1,7.00,,1,
NGC 1893,8.03,,1,7.31,0.01,2,8.37,0.05,2,7.16,,1,5.79,,1,6.79,0.01,2,7.02,1
Sh 2-284,7.98,,1,7.39,,1,8.46,,1,7.25,,1,5.68,,1,7.30,,1,7.08,1
Sh 2-285,8.08,,1,7.45,,1,8.49,,1,7.32,,1,6.04,,1,7.29,,1,6.95,1
