Object,l,b,d,d_Ref,mean_d,e_mean_d,Rg,e_Rg
Sh 2-47,15.3,0.1,3.7;3.1,1;2,3.4,0.4,4.7,0.5
NGC 6611,17.0,0.8,2.19;2.5;2.6;1.68,3;4;5;6,2.2,0.4,5.8,0.5
Sh 2-32,7.3,.0,1.8;2.2,7;8,2.0,0.3,5.9,0.4
NGC 6204,338.3,1.1,2.51;2.6;1.32;1.94,3;4;6;9,2.1,0.6,6.0,0.6
Tru 27,355.1,0.7,2.0;1.65;2.1,5;10;11,1.9,0.2,6.0,0.3
NGC 6231,343.5,1.2,1.8;1.6;1.77;2.0,4;5;6;12,1.8,0.2,6.2,0.3
NGC 6604,18.3,1.7,0.70;2.1;1.64,4;5;13,1.5,0.7,6.5,0.7
Ara OB1,336.3,1.4,1.38;1.4;1.59;1.1,3;6;9;14,1.4,0.2,6.6,0.3
Vul OB1,59.4,0.1,2.0;2.54;3.5,3;9;15,2.7,0.7,6.9,0.3
Stock 16,306.1,0.1,1.9;2.0,5;16,1.9,0.1,6.9,0.3
Sct OB2,39.0,7.6,1.0;1.17,3;17,1.1,0.1,7.1,0.3
NGC 4755,303.2,2.5,2.34;1.03;1.9,4;6;18,1.8,0.7,7.1,0.4
IC 2944,294.6,1.4,2.1;2.0;1.95;2.2,4;5;6;19,2.1,0.1,7.3,0.3
Cyg OB3,73.5,2.0,2.29;1.9;2.31,3;5;9,2.2,0.2,7.6,0.3
Cyg OB7,90.0,2.0,0.83;0.79,3;20,0.8,0.1,7.9,0.3
Lac OB1,96.8,16.1,0.6;0.63;0.368,3;9;21,0.6,0.1,8.0,0.3
Cep OB2,99.2,3.8,0.83;0.95;0.96;0.615,3;5;9;21,0.8,0.2,8.1,0.3
Cep OB3,110.4,2.8,0.87;0.725;0.84,3;6;9,0.8,0.1,8.2,0.3
Ori OB1,205.0,17.4,0.5;0.43;0.56;0.438,3;4;9;21,0.5,0.1,8.3,0.3
Mon OB2,206.5,2.1,1.51;1.62;1.63;1.67,3;6;9;22,1.6,0.1,9.4,0.3
Sh 2-247,188.9,0.8,3.5;2.2,23;24,2.8,0.9,10.7,0.9
NGC 2414,231.0,2.0,3.98;4.2,20;25,4.1,0.1,10.9,0.3
Sh 2-253,192.4,3.2,4.4;4.8;4.06,23;26;27,4.4,0.4,12.2,0.5
NGC 1893,173.6,1.7,4.0;3.7;4.8;3.6;4.3;6.02,5;6;26;28;29;30,4.4,0.9,12.3,0.9
Sh 2-284,211.9,1.3,5.2;5.6;5.5,23;31;32,5.4,0.2,12.8,0.3
Sh 2-285,213.9,0.6,6.9;6.4;6.9;4.3,23;24;31;33,5.9,1.4,13.2,1.3
