CName;SName;n_SName;Teff;u_Teff;f_Teff;<vsini>;e_<vsini>;W4026;u_W4026;W4387;u_W4387;W4471;u_W4471;<vsiniHe>;e_<vsiniHe>;SimbadName;_RA;_DE
Ara OB1  ;HD 149065       ;  ;21540; ; ; 24; 1;    ; ; 1.5; ; 1.5; ; 29; 2;HD 149065            ;248.67517;-49.85307
Ara OB1  ;HD 153106       ;  ;25510; ; ;   ;  ; 4.5; ; 4.0; ; 4.5;:;168;10;HD 153106            ;254.91836;-46.48291
Cen OB1  ;HD 100368       ;dg;22000; ; ;   ;  ;    ; ; 1.2;:; 1.2;:; 11; 4;HD 100368            ;173.09583;-61.60139
Cen OB1  ;HD 101794       ;  ;23970; ; ;   ;  ; 5.4; ; 5.7; ; 5.5; ;224;15;HD 101794            ;175.60562;-62.47708
Cen OB1  ;HD 102415       ;  ;30290; ;1;   ;  ; 7.0;:;    ; ; 7.6; ;318; 1;HD 102415            ;176.72669;-61.46305
Cen OB1  ;HD 102463       ;dg;20000; ; ;   ;  ; 2.8; ; 2.3; ; 2.7; ; 72; 6;HD 102463            ;176.81806;-60.89164
Cep OB2  ;HD 203374       ;  ;30000; ; ;   ;  ;    ; ; 5.5;:;    ; ;234;  ;HD 203374            ;319.78066;+61.85845
Cep OB2  ;HD 204150       ;  ;26450; ; ;   ;  ;    ; ; 3.6; ; 4.2; ;146; 2;HD 204150            ;321.05876;+60.79731
Cep OB2  ;HD 205794       ;  ;26890; ; ; 12; 2;    ; ; 1.4; ; 1.2; ; 14; 3;HD 205794            ;323.93262;+57.46763
Cep OB2  ;HD 205948       ;  ;24350; ; ;144;11;    ; ; 3.9; ; 4.1; ;148;14;HD 205948            ;324.19947;+57.58391
Cep OB2  ;HD 206183       ;  ;33310; ;1; 16; 2;    ; ; 1.0; ;    ; ; 12;  ;HD 206183            ;324.60951;+56.97374
Cep OB2  ;HD 206267A      ;  ;33330; ;1;   ;  ;    ; ; 2.7;:; 2.6;:; 95;14;HD 206267A           ;324.74000;+57.48889
Cep OB2  ;HD 206267C      ;  ;26760; ; ;   ;  ;    ; ; 4.2; ; 4.8; ;176; 3;ADS 15184C           ;324.74538;+57.48740
Cep OB2  ;HD 206267D      ;  ;26100; ; ; 44; 2;    ; ; 1.6; ; 1.7; ; 44; 1;ADS 15184D           ;324.73633;+57.49421
Cep OB2  ;HD 206327       ;  ;21900; ; ; 15; 3;    ; ; 1.3; ; 1.3; ; 18; 3;HD 206327            ;324.75434;+61.55615
Cep OB2  ;HD 207017       ;dg;19410; ; ;   ;  ;    ; ; 4.8; ; 4.8; ;181;19;HD 207017            ;325.93811;+62.77154
Cep OB2  ;HD 207308       ;  ;23250; ; ;   ;  ;    ; ; 4.8;:; 5.7; ;207;13;HD 207308            ;326.42653;+62.30834
Cep OB2  ;HD 207538       ;  ;32190; ;1; 39; 2;    ; ; 1.5; ; 1.6; ; 43; 1;HD 207538            ;326.91579;+59.70037
Cep OB2  ;HD 207951       ;  ;20650; ; ; 87; 2;    ; ; 2.5; ;    ; ; 86;  ;HD 207951            ;327.66930;+61.80312
Cep OB2  ;HD 208266       ;  ;24840; ; ;   ;  ;    ; ; 3.2;:; 3.5;:;117;10;HD 208266            ;328.25144;+60.64240
Cep OB2  ;HD 208440       ;  ;26470; ; ;   ;  ;    ; ; 2.5; ; 3.1; ; 94; 3;HD 208440            ;328.47207;+62.60021
Cep OB2  ;HD 208905a      ;dd;27460; ; ;   ;  ;    ; ; 1.4; ; 1.6; ; 37; 5;HD 208905            ;329.32361;+61.29531
Cep OB2  ;HD 208905b      ;dd;27460; ; ;   ;  ;    ; ; 1.7; ; 2.0;:; 58; 6;HD 208905            ;329.32361;+61.29531
Cep OB2  ;HD 209339       ;  ;31250; ;1; 98; 9;    ; ; 2.5; ; 2.8; ; 93; 3;HD 209339            ;330.16360;+62.48779
Cep OB2  ;HD 209454       ;* ;25460; ; ;   ;  ;    ; ; 4.2;:;    ; ;173;  ;HD 209454            ;330.35715;+61.55610
Cep OB2  ;HD 213023       ;  ;26050; ; ;   ;  ;    ; ; 2.5; ; 3.1;:; 94; 3;HD 213023            ;336.71819;+63.71803
Cep OB2  ;HD 213757       ;  ;20000; ; ;   ;  ;    ; ; 4.1; ; 4.7; ;160; 2;HD 213757            ;338.08986;+60.33458
Cep OB2  ;HD 235618       ;  ;27180; ; ;100; 3;    ; ; 2.6; ; 3.1; ; 97; 0;HD 235618            ;326.71175;+55.33533
Cep OB2  ;HD 239649       ;  ;20000; ; ;   ;  ;    ; ; 3.8; ; 4.8; ;156;11;HD 239649            ;320.89400;+59.85151
Cep OB2  ;HD 239676       ;* ;24720; ; ;   ;  ;    ; ; 2.6;:; 3.3;:; 98; 5;HD 239676            ;321.88586;+59.29468
Cep OB2  ;HD 239681       ;  ;26830; ; ;142;11;    ; ; 3.1; ; 3.7; ;122; 1;HD 239681            ;322.11147;+60.24878
Cep OB2  ;HD 239710       ;  ;21900; ; ; 64; 5;    ; ; 2.2; ; 2.4; ; 70; 0;HD 239710            ;324.17100;+57.50229
Cep OB2  ;HD 239712       ;  ;18870; ; ;   ;  ;    ; ; 5.9;:;    ; ;243;  ;HD 239712            ;324.24850;+58.14017
Cep OB2  ;HD 239724       ;  ;24790; ; ; 34; 6;    ; ; 1.3; ;    ; ; 26;  ;HD 239724            ;324.66471;+57.36712
Cep OB2  ;HD 239725       ;  ;20540; ; ;   ;  ;    ; ; 3.3; ; 4.1; ;127; 4;HD 239725            ;324.76979;+56.94983
Cep OB2  ;HD 239729       ;  ;28450; ; ; 99; 8;    ; ; 2.3; ; 2.8; ; 87; 4;HD 239729            ;324.86419;+57.48356
Cep OB2  ;HD 239738a      ;dd;21060; ; ;   ;  ;    ; ;    ; ; 2.0;:; 54;  ;HD 239738            ;325.49387;+58.50006
Cep OB2  ;HD 239738b      ;dd;21060; ; ;   ;  ;    ; ; 2.0; ; 1.9; ; 54; 6;HD 239738            ;325.49387;+58.50006
Cep OB2  ;HD 239742       ;  ;22470; ; ; 30; 2;    ; ; 1.4; ;    ; ; 27;  ;HD 239742            ;325.71709;+57.01695
Cep OB2  ;HD 239743       ;  ;21580; ; ; 17; 3;    ; ; 1.2; ; 1.2; ; 12; 3;HD 239743            ;325.69429;+60.29592
Cep OB2  ;HD 239745       ;  ;27340; ; ; 61; 2;    ; ; 1.9; ; 2.1; ; 64; 3;HD 239745            ;325.85193;+57.02315
