Object,P,phase,Teff,e_Teff,logg,Vt,FeH
AD Pup,13.594,0.406,5290,146,1.0,2.4,–0.4
AH Vel,4.227171,0.408,6080,80.0,1.5,3.5,–0.1
AH Vel,4.227171,0.887,6483,168.0,1.6,3.2,–0.1
AP Pup,5.084274,0.733,6180,84.0,2.2,4.0,–0.2
AP Pup,5.084274,0.9259999999999999,6148,93.0,1.7,3.5,–0.2
AP Pup,5.084274,0.13,5723,87.0,1.6,3.7,–0.2
AP Pup,5.084274,0.32899999999999996,5557,86.0,1.7,3.5,–0.2
AQ Car,9.76896,0.528,5374,104.0,0.5,3.5,–0.1
AQ Pup,30.104,0.309,5304,133.0,0.3,3.3,–0.4
AT Pup,6.664878999999999,0.594,5348,144.0,0.7,3.2,–0.4
AX Vel,3.6731,0.598,5995,161.0,1.8,3.2,–0.3
BG Vel,6.923655,0.895,5957,111.0,1.5,3.5,–0.2
BN Pup,13.6731,0.11599999999999999,5615,81.0,1.0,3.0,–0.1
DR Vel,11.1993,0.179,5183,87.0,0.5,3.0,–0.2
lCar,35.551341,0.23399999999999999,4885.0,87,0.7,3.5,0.1
lCar,35.551341,0.262,4848,91.0,0.5,3.5,0.1
lCar,35.551341,0.29,4900,105.0,0.5,3.5,0.1
lCar,35.551341,0.318,4821,87.0,0.6,3.2,0.1
MY Pup,5.695309,0.904,6114,110.0,1.4,2.8,–0.25
RS Pup,41.3876,0.826,5056,110.0,0.2,3.2,–0.1
RY CMa,4.67825,0.257,5666,131.0,1.2,3.0,–0.2
RY CMa,4.67825,0.473,5460,106.0,1.2,3.2,–0.1
RY Vel,28.1357,0.424,5124,149.0,0.3,3.5,–0.3
RZ CMa,4.254832,0.084,5800,186.0,1.0,2.7,–0.3
RZ Vel,20.398239999999998,0.606,4992,131.0,0.5,3.2,–0.1
ST Vel,5.858425,0.22399999999999998,5474,109.0,1.1,3.2,–0.1
SW Vel,23.441,0.583,5150,96.0,0.5,5.0,–0.2
SX Vel,9.54993,0.983,6248,132.0,1.3,2.8,–0.2
T Vel,4.639819,0.135,5800,91.0,1.8,3.0,–0.1
TW CMa,6.99507,0.47100000000000003,5364,184.0,1.0,4.0,–0.5
UX Car,3.682246,0.5770000000000001,6002,97.0,1.7,3.5,–0.1
V397 Car,2.0635,0.765,5959,161.0,1.5,3.5,–0.15
V Car,6.696672,0.35700000000000004,5423,112.0,1.0,3.0,–0.1
V Vel,4.371043,0.27899999999999997,5608,121.0,1.3,3.0,–0.3
VX Pup,3.01087,0.733,5870,97.0,1.8,3.0,–0.15
VY Car,18.913762,0.33399999999999996,6127,147.0,1.5,4.2,–0.05
VZ Pup,23.171,0.653,5015,114.0,0.2,4.0,–0.3
WX Pup,8.93705,0.49700000000000005,5263,132.0,0.7,3.0,–0.1
