Object,d_IR,d_B
AD Pup,11.64,11.03
AH Vel,8.59,8.60
AP Pup,8.81,8.75
AQ Car,8.2,8.18
AQ Pup,10.15,10.02
AT Pup,9.07,8.98
AX Vel,8.75,8.71
BG Vel,8.52,8.51
BN Pup,10.64,10.35
DR Vel,8.62,8.57
lCar,8.40,8.4
MY Pup,8.61,8.62
RS Pup,9.19,9.15
RY CMa,9.41,9.26
RY Vel,8.32,8.31
RZ CMa,9.99,9.60
RZ Vel,8.83,8.79
ST Vel,8.78,8.68
SW Vel,9.06,8.98
SX Vel,8.9,8.84
T Vel,8.66,8.62
TW CMa,10.46,10.22
UX Car,8.25,8.27
V397 Car,8.27,8.27
V Car,8.48,8.47
V Vel,8.44,8.44
VX Pup,9.38,
VY Car,8.16,8.18
VZ Pup,11.56,11.35
WX Pup,9.98,9.80
