Object,FeH,e_FeH,OH,e_OH
AD Pup,–0.20,0.12,-0.09,0.04
AH Vel,–0.06,0.05,0.14,
AH Vel,–0.03,0.07,-0.01,
AP Pup,–0.18,0.08,,
AP Pup,–0.13,0.07,,
AP Pup,–0.16,0.08,-0.29,
AP Pup,–0.15,0.08,0.08,
AQ Car,–0.30,0.10,,
AQ Pup,–0.26,0.03,-0.27,0.04
AT Pup,–0.22,0.10,,
AX Vel,–0.15,0.07,,
BG Vel,–0.10,0.08,,
BN Pup,–0.03,0.10,-0.01,0.01
DR Vel,–0.01,0.07,-0.41,0.09
lCar,0.11,0.07,-0.08,
lCar,0.10,0.11,-0.37,
lCar,0.10,0.17,-0.12,
lCar,0.09,0.22,-0.09,
MY Pup,–0.25,0.08,-0.12,
RS Pup,0.07,0.09,-0.02,0.22
RY CMa,–0.12,0.09,-0.28,
RY CMa,–0.20,0.09,,
RY Vel,–0.05,0.08,-0.22,
RZ CMa,–0.20,0.07,-0.55,
RZ Vel,0.05,0.10,,
ST Vel,–0.14,0.10,-0.34,
SW Vel,–0.15,0.08,,
SX Vel,–0.18,0.07,-0.31,
T Vel,–0.02,0.07,,
TW CMa,–0.51,0.09,,
UX Car,–0.10,0.07,,
V397 Car,–0.08,0.09,,
V Car,–0.06,0.07,-0.22,0.16
V Vel,–0.30,0.06,,
VX Pup,–0.15,0.12,-0.1,
VY Car,–0.06,0.06,,
VZ Pup,–0.37,0.07,-0.53,
WX Pup,–0.15,0.09,-0.36,
