Object,Rg
SZ Aql,6.96
X Lac,9.01
AV Sgr,6.37
U Car,8.11
TT Aql,7.7
Y Lac,9.08
BB Sgr,7.7
WZ Car,8.14
FM Aql,7.86
Z Lac,9.2
V350 Sgr,7.61
VW Cen,6.83
FN Aql,7.41
BG Lac,8.77
RV Sco,7.74
XX Cen,7.52
V496 Aql,7.63
T Mon,9.75
RY Sco,7.16
KN Cen,6.92
V1162Aql,7.43
SV Mon,10.83
KQ Sco,6.26
GH Lup,7.56
Eta Aql,8.3
CV Mon,10.09
V500 Sco,7.08
S Mus,8.12
V340 Ara,4.99
S Nor,7.73
SS Sct,7.61
UU Mus,7.6
RT Aur,8.94
V340 Nor,6.9
UZ Sct,5.69
U Nor,7.34
SU Cas,8.71
Y Oph,7.93
EW Sct,8.14
LS Pup,11.39
V Cen,7.99
BF Oph,7.68
V367 Sct,6.81
EU Tau,8.87
Del Cep,8.57
GQ Ori,10.84
BQ Ser,7.7
BG Cru,8.3
X Pup,10.5
ST Tau,9.53
X Cyg,8.32
S Sge,8.13
SZ Tau,8.96
VZ Cyg,8.75
U Sgr,7.89
S Vul,7.6
Beta Dor,8.5
W Sgr,8.08
T Vul,8.34
W Gem,9.45
Y Sgr,8.02
U Vul,8.16
RZ Gem,10.66
VY Sgr,6.29
SV Vul,7.8
AD Gem,11.39
WZ Sgr,6.71
Zeta Gem,8.86
AP Sgr,7.68
