Star,Na,e_Na,n_Na,Mg,e_Mg,n_Mg,Al,e_Al,n_Al,Si,e_Si,n_Si,S,e_S,n_S,C,e_C,n_C,Fe,e_Fe,n_Fe
AAGem,,,,-0.26,0.00,1,,,,-0.24,0.10,11,-0.24,0.00,1,-0.37,0.14,2,-0.35,0.08,75
ADGem,-0.05,0.00,1,-0.05,0.05,2,-0.08,0.09,4,-0.11,0.15,14,-0.19,0.00,1,-0.11,0.14,6,-0.19,0.13,119
ADPup,0.04,0.13,2,0.02,0.12,2,-0.09,0.18,6,-0.10,0.09,13,0.05,0.00,1,-0.02,0.09,3,-0.20,0.12,114
AHVel,0.53,0.05,x,0.14,0.10,x,0.16,0.12,x,0.12,0.15,x,0.24,0.09,x,0.04,0.12,x,-0.04,0.06,x
AOAur,-0.10,0.00,1,-0.08,0.08,3,-0.11,0.11,4,-0.15,0.16,11,-0.22,0.00,1,-0.18,0.08,5,-0.41,0.11,106
AOCMa,0.25,0.00,1,0.27,0.00,1,0.35,0.00,1,0.24,0.15,5,0.44,0.11,2,-0.01,0.26,5,-0.04,0.13,35
APPup,0.06,0.01,x,-0.05,0.05,x,-0.11,0.11,x,-0.09,0.12,x,0.23,0.15,x,-0.14,0.12,x,-0.15,0.08,x
AQCar,,,,0.38,0.00,1,0.28,0.10,3,0.18,0.19,4,,,,0.36,0.11,2,-0.30,0.10,106
AQPup,0.12,0.00,1,,,,-0.02,0.18,5,-0.01,0.10,11,-0.06,0.28,2,-0.13,0.14,3,-0.26,0.03,89
ATPup,0.29,0.10,2,0.19,0.13,2,-0.20,0.03,2,-0.04,0.18,11,,,,-0.15,0.17,5,-0.22,0.10,75
AVSgr,0.09,0.00,1,0.73,0.00,1,0.59,0.00,1,0.41,0.12,7,0.75,0.20,2,0.43,0.08,3,0.26,0.12,x
AVTau,0.17,0.00,1,0.12,0.09,2,0.09,0.23,3,0.04,0.18,10,0.05,0.00,1,-0.03,0.09,5,-0.17,0.11,86
AXAur,0.17,0.00,1,-0.01,0.16,2,-0.09,0.08,2,-0.02,0.16,13,-0.08,0.00,1,-0.04,0.16,6,-0.22,0.10,109
AXVel,,,,0.13,0.00,1,0.12,0.06,2,0.20,0.21,7,0.38,0.16,2,0.03,0.08,4,-0.15,0.07,97
BEMon,0.05,0.00,1,-0.09,0.05,2,0.05,0.12,4,-0.05,0.14,12,-0.03,0.00,1,-0.12,0.12,5,-0.07,0.09,106
BGVel,,,,,,,-0.11,0.06,2,0.09,0.07,12,0.25,0.00,1,0.08,0.14,6,-0.10,0.08,130
BKAur,,,,0.32,0.00,x,-0.03,0.04,x,0.16,0.15,x,0.41,0.09,x,0.05,0.14,x,-0.07,0.11,x
BNPup,0.32,0.08,2,0.16,0.16,2,0.09,0.20,5,0.12,0.18,12,0.21,0.00,1,0.09,0.19,5,-0.03,0.10,128
BVMon,,,,0.14,0.11,2,0.02,0.18,3,0.01,0.20,12,,,,-0.03,0.13,5,-0.10,0.10,60
CSOri,-0.03,0.00,1,-0.18,0.04,2,-0.09,0.00,1,-0.20,0.22,5,-0.29,0.00,1,-0.20,0.09,4,-0.19,0.13,84
CVMon,0.19,0.00,1,0.18,0.01,2,0.02,0.09,4,0.07,0.17,13,0.05,0.00,1,-0.12,0.13,3,-0.10,0.13,111
DRVel,0.29,0.00,1,0.21,0.13,2,0.26,0.12,3,0.20,0.13,11,0.36,0.23,2,0.26,0.20,5,-0.01,0.07,122
EKMon,,,,0.05,0.18,2,0.02,0.18,4,-0.06,0.13,11,-0.15,0.00,1,-0.04,0.08,5,-0.05,0.11,88
